,title,author,task 1,task 2,task 3,github,stars
361,GPS-Net: Graph Property Sensing Network for Scene Graph Generation,Xin Lin,graph-generation,scene-graph-generation,,https://github.com/taksau/GPS-Net,21
362,Orthogonal Convolutional Neural Networks,Jiayun Wang,speech-recognition,person-re-identification,,https://github.com/samaonline/Orthogonal-Convolutional-Neural-Networks,21
363,Syn2Real Transfer Learning for Image Deraining Using Gaussian Processes,Rajeev Yasarla,gaussian-processes,rain-removal,transfer-learning,https://github.com/rajeevyasarla/Syn2Real,21
364,Sign Language Transformers: Joint End-to-End Sign Language Recognition and Translation,Necati Cihan Camgoz,machine-translation,sign-language-recognition,sign-language-translation,https://github.com/neccam/slt,21
365,Satellite Image Time Series Classification With Pixel-Set Encoders and Temporal Self-Attention,Vivien Sainte Fare Garnot,time-series,time-series-classification,,https://github.com/VSainteuf/psetae,21
366,Conditional Gaussian Distribution Learning for Open Set Recognition,Xin Sun,open-set-learning,,,https://github.com/BraveGump/CGDL-for-Open-Set-Recognition,21
367,Counterfactual Samples Synthesizing for Robust Visual Question Answering,Long Chen,question-answering,visual-question-answering,,https://github.com/yanxinzju/CSS-VQA,20
368,Correction Filter for Single Image Super-Resolution: Robustifying Off-the-Shelf Deep Super-Resolvers,Shady Abu Hussein,image-super-resolution,super-resolution,,https://github.com/shadyabh/Correction-Filter,20
369,Flow2Stereo: Effective Self-Supervised Learning of Optical Flow and Stereo Matching,Pengpeng Liu,optical-flow-estimation,self-supervised-learning,stereo-matching-1,https://github.com/ppliuboy/Flow2Stereo,20
370,Towards Learning Structure via Consensus for Face Segmentation and Parsing,Iacopo Masi,,,,https://github.com/isi-vista/structure_via_consensus,20
371,Combating Noisy Labels by Agreement: A Joint Training Method with Co-Regularization,Hongxin Wei,,,,https://github.com/hongxin001/JoCoR,20
372,A Model-Driven Deep Neural Network for Single Image Rain Removal,Hong Wang,dictionary-learning,rain-removal,single-image-deraining,https://github.com/hongwang01/RCDNet,20
373,Instance Credibility Inference for Few-Shot Learning,Yikai Wang,data-augmentation,few-shot-learning,meta-learning,https://github.com/Yikai-Wang/ICI-FSL,20
374,Extreme Relative Pose Network Under Hybrid Representations,Zhenpei Yang,pose-estimation,,,https://github.com/SimingYan/Hybrid_Relative_Pose,20
375,MLCVNet: Multi-Level Context VoteNet for 3D Object Detection,Qian Xie,3d-object-detection,object-detection,,https://github.com/NUAAXQ/MLCVNet,20
376,Symmetry and Group in Attribute-Object Compositions,Yong-Lu Li,compositional-zero-shot-learning,zero-shot-learning,,https://github.com/DirtyHarryLYL/SymNet,20
377,Semi-Supervised Semantic Segmentation With Cross-Consistency Training,Yassine Ouali,semantic-segmentation,semi-supervised-semantic-segmentation,,https://github.com/yassouali/CCT,19
378,Learning to Segment the Tail,Xinting Hu,image-classification,instance-segmentation,object-detection,https://github.com/JoyHuYY1412/LST_LVIS,19
379,Rethinking Differentiable Search for Mixed-Precision Neural Networks,Zhaowei Cai,combinatorial-optimization,,,https://github.com/zhaoweicai/EdMIPS,18
380,Graph Structured Network for Image-Text Matching,Chunxiao Liu,text-matching,,,https://github.com/CrossmodalGroup/GSMN,18
381,Learning Human-Object Interaction Detection Using Interaction Points,Tiancai Wang,action-detection,action-localization,spatio-temporal-action-localization,https://github.com/vaesl/IP-Net,17
382,Holistically-Attracted Wireframe Parsing,Nan Xue,line-segment-detection,,,https://github.com/cherubicXN/hawp,17
383,Benchmarking Adversarial Robustness on Image Classification,Yinpeng Dong,image-classification,person-re-identification,image-classification,https://github.com/thu-ml/realsafe,16
384,SAL: Sign Agnostic Learning of Shapes From Raw Data,Matan Atzmon,,,,https://github.com/matanatz/SAL,16
385,Video Super-Resolution With Temporal Group Attention,Takashi Isobe,super-resolution,video-super-resolution,,https://github.com/junpan19/VSR_TGA,16
386,Learning to Structure an Image With Few Colors,Yunzhong Hou,image-compression,quantization,,https://github.com/hou-yz/color_distillation,16
387,Making Better Mistakes: Leveraging Class Hierarchies With Deep Networks,Luca Bertinetto,image-classification,,,https://github.com/fiveai/making-better-mistakes,16
388,AdversarialNAS: Adversarial Neural Architecture Search for GANs,Chen Gao,image-generation,architecture-search,,https://github.com/chengaopro/AdversarialNAS,16
389,Norm-Aware Embedding for Efficient Person Search,Di Chen,human-detection,person-re-identification,person-search,https://github.com/DeanChan/NAE4PS,16
390,Attentive Normalization for Conditional Image Generation,Yi Wang,gaze-estimation,image-to-image-translation,semantic-similarity,https://github.com/shepnerd/AttenNorm,15
391,Regularizing Neural Networks via Minimizing Hyperspherical Energy,Rongmei Lin,,,,https://github.com/rmlin/CoMHE,15
392,Face X-Ray for More General Face Forgery Detection,Lingzhi Li,deepfake-detection,face-swapping,,https://github.com/neverUseThisName/Face-X-Ray,15
393,Interactive Two-Stream Decoder for Accurate and Fast Saliency Detection,Huajun Zhou,saliency-detection,,,https://github.com/moothes/ITSD-pytorch,15
394,Deep Homography Estimation for Dynamic Scenes,Hoang Le,homography-estimation,multi-task-learning,,https://github.com/lcmhoang/hmg-dynamics,15
395,Skeleton-Based Action Recognition With Shift Graph Convolutional Network,Ke Cheng,skeleton-based-action-recognition,,,https://github.com/kchengiva/Shift-GCN,15
396,Upgrading Optical Flow to 3D Scene Flow Through Optical Expansion,Gengshan Yang,depth-estimation,optical-flow-estimation,,https://github.com/gengshan-y/expansion,15
397,Hi-CMD: Hierarchical Cross-Modality Disentanglement for Visible-Infrared Person Re-Identification,Seokeon Choi,image-generation,person-re-identification,,https://github.com/bismex/HiCMD,15
398,What Deep CNNs Benefit From Global Covariance Pooling: An Optimization Perspective,Qilong Wang,instance-segmentation,object-detection,semantic-segmentation,https://github.com/ZhangLi-CS/GCP_Optimization,15
399,Deep Geometric Functional Maps: Robust Feature Learning for Shape Correspondence,Nicolas Donati,,,,https://github.com/LIX-shape-analysis/GeomFmaps,15
400,From Image Collections to Point Clouds With Self-Supervised Shape and Pose Networks,K L Navaneet,3d-object-reconstruction,3d-object-reconstruction-from-a-single-image,object-reconstruction,https://github.com/val-iisc/ssl_3d_recon,14
401,Scene-Adaptive Video Frame Interpolation via Meta-Learning,Myungsub Choi,meta-learning,video-frame-interpolation,,https://github.com/myungsub/meta-interpolation,14
402,Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,Pengfei Zhang,skeleton-based-action-recognition,action-recognition,,https://github.com/microsoft/SGN,14
403,VOLDOR: Visual Odometry From Log-Logistic Dense Optical Flow Residuals,Zhixiang Min,optical-flow-estimation,visual-odometry,,https://github.com/htkseason/VOLDOR,14
404,Single-Stage 6D Object Pose Estimation,Yinlin Hu,6d-pose-estimation,pose-estimation,pose-prediction,https://github.com/cvlab-epfl/single-stage-pose,14
405,MiLeNAS: Efficient Neural Architecture Search via Mixed-Level Reformulation,Chaoyang He,bilevel-optimization,architecture-search,,https://github.com/chaoyanghe/MiLeNAS,14
406,SAM: The Sensitivity of Attribution Methods to Hyperparameters,Naman Bansal,,,,https://github.com/anguyen8/sam,14
407,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,Zhengyu Zhao,image-classification,,,https://github.com/ZhengyuZhao/PerC-Adversarial,14
408,Weakly-Supervised Semantic Segmentation via Sub-Category Exploration,Yu-Ting Chang,semantic-segmentation,weakly-supervised-semantic-segmentation,,https://github.com/Juliachang/SC-CAM,14
409,RGBD-Dog: Predicting Canine Pose from RGBD Sensors,Sinead Kearney,motion-capture,pose-estimation,pose-prediction,https://github.com/CAMERA-Bath/RGBD-Dog,14
410,Deep Stereo Using Adaptive Thin Volume Representation With Uncertainty Awareness,Shuo Cheng,3d-reconstruction,,,https://github.com/touristCheng/UCSNet,13
411,On Isometry Robustness of Deep 3D Point Cloud Models Under Adversarial Attacks,Yue Zhao,,,,https://github.com/skywalker6174/3d-isometry-robust,13
412,Unsupervised Multi-Modal Image Registration via Geometry Preserving Image-to-Image Translation,Moab Arar,autonomous-driving,image-registration,image-to-image-translation,https://github.com/moabarar/nemar,13
413,JL-DCF: Joint Learning and Densely-Cooperative Fusion Framework for RGB-D Salient Object Detection,Keren Fu,object-detection,salient-object-detection,,https://github.com/kerenfu/JLDCF,13
414,"Classifying, Segmenting, and Tracking Object Instances in Video with Mask Propagation",Gedas Bertasius,instance-segmentation,semantic-segmentation,,https://github.com/jiawen9611/Awesome-Video-Instance-Segmentation,13
415,Meshlet Priors for 3D Mesh Reconstruction,Abhishek Badki,,,,https://github.com/NVlabs/meshlets,13
416,3D Part Guided Image Editing for Fine-Grained Object Understanding,Zongdai Liu,autonomous-driving,instance-segmentation,semantic-segmentation,https://github.com/zongdai/EditingForDNN,12
417,3D Human Mesh Regression With Dense Correspondence,Wang Zeng,,,,https://github.com/zengwang430521/DecoMR,12
418,Disentangling Physical Dynamics From Unknown Factors for Unsupervised Video Prediction,Vincent Le Guen,video-prediction,,,https://github.com/vincent-leguen/PhyDNet,12
419,IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,Wanli Peng,3d-object-detection,autonomous-driving,depth-estimation,https://github.com/swords123/IDA-3D,12
420,Domain-Aware Visual Bias Eliminating for Generalized Zero-Shot Learning,Shaobo Min,zero-shot-learning,,,https://github.com/mboboGO/DVBE,12
421,Attention Mechanism Exploits Temporal Contexts: Real-Time 3D Human Pose Reconstruction,Ruixu Liu,3d-human-pose-estimation,pose-estimation,,https://github.com/lrxjason/Attention3DHumanPose,12
422,Multi-Scale Progressive Fusion Network for Single Image Deraining,Kui Jiang,rain-removal,single-image-deraining,,https://github.com/kuihua/MSPFN,12
423,Light Field Spatial Super-Resolution via Deep Combinatorial Geometry Embedding and Structural Consistency Regularization,Jing Jin,super-resolution,,,https://github.com/jingjin25/LFSSR-ATO,12
424,MUXConv: Information Multiplexing in Convolutional Neural Networks,Zhichao Lu,image-classification,architecture-search,object-detection,https://github.com/human-analysis/MUXConv,12
425,A Multi-Hypothesis Approach to Color Constancy,Daniel Hernandez-Juarez,color-constancy,,,https://github.com/huawei-noah/multi_hyp_cc,12
426,Learning When and Where to Zoom With Deep Reinforcement Learning,Burak Uzkent,object-detection,region-proposal,,https://github.com/ermongroup/PatchDrop,12
427,3D Sketch-Aware Semantic Scene Completion via Semi-Supervised Structure Prior,Xiaokang Chen,,,,https://github.com/charlesCXK/3D-SketchAware-SSC,12
428,Exploring Data Aggregation in Policy Learning for Vision-Based Urban Autonomous Driving,Aditya Prakash,imitation-learning,,,https://github.com/autonomousvision/data_aggregation,12
429,SPARE3D: A Dataset for SPAtial REasoning on Three-View Line Drawings,Wenyu Han,,,,https://github.com/ai4ce/SPARE3D,12
430,Graph-Guided Architecture Search for Real-Time Semantic Segmentation,Peiwen Lin,real-time-semantic-segmentation,semantic-segmentation,,https://github.com/L-Lighter/LightNet,12
431,Learning From Synthetic Animals,Jiteng Mu,edge-detection,object-detection,synthetic-data-generation,https://github.com/JitengMu/Learning-from-Synthetic-Animals,12
432,Deep Residual Flow for Out of Distribution Detection,Ev Zisselman,out-of-distribution-detection,,,https://github.com/EvZissel/Residual-Flow,12
433,Image Demoireing with Learnable Bandpass Filters,Bolun Zheng,image-restoration,,,https://github.com/zhenngbolun/Learnbale_Bandpass_Filter,11
434,Plug-and-Play Algorithms for Large-Scale Snapshot Compressive Imaging,Xin Yuan,denoising,,,https://github.com/liuyang12/PnP-SCI,11
435,Cross-Domain Document Object Detection: Benchmark Suite and Method,Kai Li,object-detection,,,https://github.com/kailigo/cddod,11
436,Revisiting Pose-Normalization for Fine-Grained Few-Shot Recognition,Luming Tang,,,,https://github.com/Tsingularity/PoseNorm_Fewshot,11
437,Discovering Human Interactions With Novel Objects via Zero-Shot Learning,Suchen Wang,human-object-interaction-detection,region-proposal,zero-shot-learning,https://github.com/scwangdyd/zero_shot_hoi,10
438,ARShadowGAN: Shadow Generative Adversarial Network for Augmented Reality in Single Light Scenes,Daquan Liu,,,,https://github.com/ldq9526/ARShadowGAN,10
439,A Novel Recurrent Encoder-Decoder Structure for Large-Scale Multi-View Stereo Reconstruction From an Open Aerial Dataset,Jin Liu,,,,https://github.com/gpcv-liujin/REDNet,10
440,Learning Dynamic Relationships for 3D Human Motion Prediction,Qiongjie Cui,human-motion-prediction,motion-prediction,,https://github.com/cuiqiongjie/LDRGCN,10
441,Adaptive Subspaces for Few-Shot Learning,Christian Simon,few-shot-image-classification,few-shot-learning,meta-learning,https://github.com/chrysts/dsn_fewshot,10
442,ScrabbleGAN: Semi-Supervised Varying Length Handwritten Text Generation,Sharon Fogel,domain-adaptation,handwriting-recognition,optical-character-recognition,https://github.com/amzn/convolutional-handwriting-gan,10
443,Graph Embedded Pose Clustering for Anomaly Detection,Amir Markovitz,anomaly-detection,,,https://github.com/amirmk89/gepc,10
444,Weakly Supervised Visual Semantic Parsing,Alireza Zareian,graph-generation,image-retrieval,scene-graph-generation,https://github.com/alirezazareian/vspnet,10
445,Hyperbolic Visual Embedding Learning for Zero-Shot Recognition,Shaoteng Liu,zero-shot-learning,,,https://github.com/ShaoTengLiu/Hyperbolic_ZSL,10
446,Scalability in Perception for Autonomous Driving: Waymo Open Dataset,Pei Sun,autonomous-driving,,,https://github.com/JdeRobot/BehaviorSuite,10
447,Single Image Reflection Removal Through Cascaded Refinement,Chao Li,community-detection,,,https://github.com/JHL-HUST/IBCLN,10
448,MetaIQA: Deep Meta-Learning for No-Reference Image Quality Assessment,Hancheng Zhu,image-quality-assessment,meta-learning,no-reference-image-quality-assessment,https://github.com/zhuhancheng/MetaIQA,9
449,WCP: Worst-Case Perturbations for Semi-Supervised Deep Learning,Liheng Zhang,,,,https://github.com/maple-research-lab/WCP,9
450,Semantic Image Manipulation Using Scene Graphs,Helisa Dhamo,image-generation,layout-to-image-generation,,https://github.com/he-dhamo/simsg,9
451,Action Modifiers: Learning From Adverbs in Instructional Videos,Hazel Doughty,,,,https://github.com/hazeld/action-modifiers,9
452,CIAGAN: Conditional Identity Anonymization Generative Adversarial Networks,Maxim Maximov,,,,https://github.com/dvl-tum/ciagan,9
453,PointGMM: A Neural GMM Network for Point Clouds,Amir Hertz,,,,https://github.com/amirhertz/pointgmm,9
454,Autolabeling 3D Objects With Differentiable Rendering of SDF Shape Priors,Sergey Zakharov,,,,https://github.com/TRI-ML/sdflabel,9
455,Syntax-Aware Action Targeting for Video Captioning,Qi Zheng,video-captioning,,,https://github.com/SydCaption/SAAT,9
456,A2dele: Adaptive and Attentive Depth Distiller for Efficient RGB-D Salient Object Detection,Yongri Piao,object-detection,saliency-detection,salient-object-detection,https://github.com/OIPLab-DUT/CVPR2020-A2dele,9
457,Sketch Less for More: On-the-Fly Fine-Grained Sketch-Based Image Retrieval,Ayan Kumar Bhunia,cross-modal-retrieval,image-retrieval,sketch-based-image-retrieval,https://github.com/AyanKumarBhunia/on-the-fly-FGSBIR,9
458,Video Playback Rate Perception for Self-Supervised Spatio-Temporal Representation Learning,Yuan Yao,representation-learning,video-retrieval,,https://github.com/yuanyao366/PRP,8
459,Normalizing Flows With Multi-Scale Autoregressive Priors,Apratim Bhattacharyya,density-estimation,image-generation,,https://github.com/visinf/mar-scf,8
460,Smooth Shells: Multi-Scale Shape Registration With Functional Maps,Marvin Eisenberger,,,,https://github.com/marvin-eisenberger/smooth-shells,8
461,Learning Integral Objects With Intra-Class Discriminator for Weakly-Supervised Semantic Segmentation,Junsong Fan,semantic-segmentation,weakly-supervised-semantic-segmentation,,https://github.com/js-fan/ICD,8
462,Controllable Orthogonalization in Training DNNs,Lei Huang,image-classification,,,https://github.com/huangleiBuaa/ONI,8
463,Deep Active Learning for Biased Datasets via Fisher Kernel Self-Supervision,Denis Gudovskiy,active-learning,,,https://github.com/gudovskiy/al-fk-self-supervision,8
464,HCNAF: Hyper-Conditioned Neural Autoregressive Flow and its Application for Probabilistic Occupancy Map Forecasting,Geunseob Oh,density-estimation,,,https://github.com/gsoh/HCNAF,8
465,A Context-Aware Loss Function for Action Spotting in Soccer Videos,Anthony Cioppa,action-classification,action-detection,action-spotting,https://github.com/cioppaanthony/context-aware-loss,8
466,Multiple Anchor Learning for Visual Object Detection,Wei Ke,multiple-instance-learning,object-detection,,https://github.com/KevinKecc/MAL,8
467,Diversified Arbitrary Style Transfer via Deep Feature Perturbation,Zhizhong Wang,image-reconstruction,style-transfer,,https://github.com/EndyWon/Deep-Feature-Perturbation,8
468,Generalized Product Quantization Network for Semi-Supervised Image Retrieval,Young Kyun Jang,image-retrieval,metric-learning,quantization,https://github.com/youngkyunJang/GPQ,7
469,GeoDA: A Geometric Framework for Black-Box Adversarial Attacks,Ali Rahmati,,,,https://github.com/thisisalirah/GeoDA,7
470,Two Causal Principles for Improving Visual Dialog,Jiaxin Qi,visual-dialogue,,,https://github.com/simpleshinobu/visdial-principles,7
471,Multi-Modal Graph Neural Network for Joint Reasoning on Vision and Scene Text,Difei Gao,question-answering,scene-text,visual-question-answering,https://github.com/ricolike/mmgnn_textvqa,7
472,Universal Physical Camouflage Attacks on Object Detectors,Lifeng Huang,region-proposal,,,https://github.com/mesunhlf/UPC-tf,7
473,MMTM: Multimodal Transfer Module for CNN Fusion,Hamid Reza Vaezi Joze,action-recognition-in-videos,gesture-recognition,hand-gesture-recognition,https://github.com/haamoon/mmtm,7
474,Network Adjustment: Channel Search Guided by FLOPs Utilization Ratio,Zhengsu Chen,image-classification,network-pruning,,https://github.com/danczs/NetworkAdjustment,7
475,A Characteristic Function Approach to Deep Implicit Generative Modeling,Abdul Fatir Ansari,image-generation,,,https://github.com/crslab/OCFGAN,7
476,What It Thinks Is Important Is Important: Robustness Transfers Through Input Gradients,Alvin Chan,,,,https://github.com/alvinchangw/IGAM_CVPR2020,7
477,Mixture Dense Regression for Object Detection and Human Pose Estimation,Ali Varamesh,dense-object-detection,object-detection,pose-estimation,https://github.com/alivaramesh/MixtureDenseRegression,7
478,Breaking the Cycle - Colleagues Are All You Need,Ori Nizan,image-to-image-translation,multimodal-unsupervised-image-to-image,unsupervised-image-to-image-translation,https://github.com/Onr/Council-GAN,7
479,Seeing without Looking: Contextual Rescoring of Object Detections for AP Maximization,Lourenco V. Pato,object-detection,,,https://github.com/LourencoVazPato/seeing-without-looking,7
480,Uncertainty-Aware Score Distribution Learning for Action Quality Assessment,Yansong Tang,,,,https://github.com/nzl-thu/MUSDL,6
481,Distilling Cross-Task Knowledge via Relationship Matching,Han-Jia Ye,,,,https://github.com/njulus/ReFilled,6
482,Uncertainty Based Camera Model Selection,Michal Polic,autonomous-driving,calibration,,https://github.com/michalpolic/unc_model_selection,6
483,Effectively Unbiased FID and Inception Score and Where to Find Them,Min Jin Chong,,,,https://github.com/mchong6/FID_IS_infinity,6
484,Unsupervised Model Personalization While Preserving Privacy and Scalability: An Open Problem,Matthias De Lange,continual-learning,domain-adaptation,scene-recognition,https://github.com/mattdl/DUA,6
485,Butterfly Transform: An Efficient FFT Based Neural Architecture Design,Keivan Alizadeh vahid,architecture-search,,,https://github.com/keivanalizadeh/ButterflyTransform,6
486,Convolution in the Cloud: Learning Deformable Kernels in 3D Graph Convolution Networks for Point Cloud Analysis,Zhi-Hao Lin,,,,https://github.com/j1a0m0e4sNTU/3dgcn,6
487,An Investigation Into the Stochasticity of Batch Whitening,Lei Huang,,,,https://github.com/huangleiBuaa/StochasticityBW,6
488,On Positive-Unlabeled Classification in GAN,Tianyu Guo,self-supervised-learning,,,https://github.com/huangjiadidi/PUGAN,6
489,Probability Weighted Compact Feature for Domain Adaptive Retrieval,Fuxiang Huang,image-retrieval,quantization,,https://github.com/fuxianghuang1/PWCF,6
490,Differentiable Adaptive Computation Time for Visual Reasoning,Cristobal Eyzaguirre,visual-reasoning,,,https://github.com/ceyzaguirre4/DACT-MAC,6
491,Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,Soheil Kolouri,traffic-sign-recognition,,,https://github.com/UMBCvision/Universal-Litmus-Patterns,6
492,Enhancing Intrinsic Adversarial Robustness via Feature Pyramid Decoder,Guanlin Li,denoising,image-restoration,self-supervised-learning,https://github.com/GuanlinLee/FPD-for-Adversarial-Robustness,6
493,An Efficient PointLSTM for Point Clouds Based Gesture Recognition,Yuecong Min,gesture-recognition,,,https://github.com/Blueprintf/pointlstm-gesture-recognition-pytorch,6
494,JA-POLS: A Moving-Camera Background Model via Joint Alignment and Partially-Overlapping Local Subspaces,Irit Chelly,,,,https://github.com/BGU-CS-VIL/JA-POLS,6
495,Conv-MPN: Convolutional Message Passing Neural Network for Structured Outdoor Architecture Reconstruction,Fuyang Zhang,,,,https://github.com/zhangfuyang/Conv-MPN,5
496,Old Is Gold: Redefining the Adversarially Learned One-Class Classifier Training Paradigm,Muhammad Zaigham Zaheer,anomaly-detection,one-class-classifier,,https://github.com/xaggi/OGNet,5
497,Iterative Context-Aware Graph Inference for Visual Dialog,Dan Guo,graph-embedding,visual-dialogue,,https://github.com/wh0330/CAG_VisDial,5
498,View-GCN: View-Based Graph Convolutional Network for 3D Shape Analysis,Xin Wei,3d-shape-analysis,3d-shape-retrieval,3d-shape-recognition,https://github.com/weixmath/view-GCN,5
499,Semantic Pyramid for Image Generation,Assaf Shocher,object-detection,semantic-segmentation,semantic-segmentation,https://github.com/rosinality/semantic-pyramid-pytorch,5
500,Leveraging 2D Data to Learn Textured 3D Mesh Generation,Paul Henderson,,,,https://github.com/pmh47/textured-mesh-gen,5
501,Perceptual Quality Assessment of Smartphone Photography,Yuming Fang,blind-image-quality-assessment,image-quality-assessment,,https://github.com/h4nwei/SPAQ,5
502,Learning Better Lossless Compression Using Lossy Compression,Fabian Mentzer,image-compression,,,https://github.com/fab-jul/RC-PyTorch,5
503,Exploit Clues From Views: Self-Supervised and Regularized Learning for Multiview Object Recognition,Chih-Hui Ho,object-recognition,self-supervised-learning,,https://github.com/chihhuiho/VISPE,5
504,Shape Reconstruction by Learning Differentiable Surface Representations,Jan Bednarik,,,,https://github.com/bednarikjan/differential_surface_representation,5
505,Belief Propagation Reloaded: Learning BP-Layers for Labeling Problems,Patrick Knobelreiter,optical-flow-estimation,semantic-segmentation,,https://github.com/VLOGroup/bp-layers,5
506,Rotation Equivariant Graph Convolutional Network for Spherical Image Classification,Qin Yang,graph-construction,image-classification,,https://github.com/QinYang12/SGCN,5
507,A Self-supervised Approach for Adversarial Robustness,Muzammal Naseer,semantic-segmentation,semi-supervised-semantic-segmentation,out-of-distribution-detection,https://github.com/Muzammal-Naseer/NRP,5
508,Discriminative Multi-Modality Speech Recognition,Bo Xu,lipreading,speech-recognition,,https://github.com/JackSyu/Discriminative-Multi-modality-Speech-Recognition,5
509,McFlow: Monte Carlo Flow Models for Data Imputation,Trevor W. Richardson,imputation,,,https://github.com/trevor-richardson/MCFlow,4
510,Noise Robust Generative Adversarial Networks,Takuhiro Kaneko,robust-speech-recognition,speech-dereverberation,speech-enhancement,https://github.com/takuhirok/NR-GAN,4
511,ColorFool: Semantic Adversarial Colorization,Ali Shahin Shamsabadi,adversarial-attack,colorization,denoising,https://github.com/smartcameras/ColorFool,4
512,Unsupervised Person Re-Identification via Softened Similarity Learning,Yutian Lin,person-re-identification,quantization,unsupervised-person-re-identification,https://github.com/ryanaleksander/softened-similarity-learning,4
513,Learning Selective Self-Mutual Attention for RGB-D Saliency Detection,Nian Liu,saliency-detection,,,https://github.com/nnizhang/S2MA,4
514,Visual Chirality,Zhiqiu Lin,data-augmentation,image-forensics,self-supervised-learning,https://github.com/linzhiqiu/digital_chirality,4
515,Adaptive Interaction Modeling via Graph Operations Search,Haoxin Li,,,,https://github.com/lihaoxin05/graph-operations-search,4
516,Defending and Harnessing the Bit-Flip Based Adversarial Weight Attack,Zhezhi He,adversarial-attack,,,https://github.com/elliothe/BFA,4
517,SOS: Selective Objective Switch for Rapid Immunofluorescence Whole Slide Image Classification,Sam Maksoud,image-classification,,,https://github.com/cradleai/LKS-Dataset,4
518,Generalizing Hand Segmentation in Egocentric Videos With Uncertainty-Guided Model Adaptation,Minjie Cai,hand-segmentation,,,https://github.com/cai-mj/UMA,4
519,Spherical Space Domain Adaptation With Robust Pseudo-Label Loss,Xiang Gu,domain-adaptation,,,https://github.com/XJTU-XGU/RSDA,4
520,Inferring Attention Shift Ranks of Objects for Image Saliency,Avishek Siris,,,,https://github.com/SirisAvishek/Attention_Shift_Ranks,4
521,L2-GCN: Layer-Wise and Learned Efficient Training of Graph Convolutional Networks,Yuning You,,,,https://github.com/Shen-Lab/L2-GCN,4
522,Exploring Spatial-Temporal Multi-Frequency Analysis for High-Fidelity and Temporal-Consistency Video Prediction,Beibei Jin,video-prediction,,,https://github.com/Bei-Jin/STMFANet,4
523,Learn2Perturb: An End-to-End Feature Perturbation Learning to Improve Adversarial Robustness,Ahmadreza Jeddi,adversarial-defense,,,https://github.com/Ahmadreza-Jeddi/Learn2Perturb,4
524,Light-weight Calibrator: A Separable Component for Unsupervised Domain Adaptation,Shaokai Ye,adversarial-attack,domain-adaptation,semantic-segmentation,https://github.com/yeshaokai/Calibrator-Domain-Adaptation,3
525,Few-Shot Class-Incremental Learning,Xiaoyu Tao,few-shot-learning,few-shot-image-segmentation,semantic-segmentation,https://github.com/xyutao/fscil,3
526,Fast MSER,Hailiang Xu,,,,https://github.com/mmmn143/fast-mser,3
527,Sketchformer: Transformer-Based Representation for Sketched Structure,Leo Sampaio Ferraz Ribeiro,dictionary-learning,image-retrieval,sketch-based-image-retrieval,https://github.com/leosampaio/sketchformer,3
528,"Same Features, Different Day: Weakly Supervised Feature Learning for Seasonal Invariance",Jaime Spencer,image-retrieval,,,https://github.com/jspenmar/DejaVu_Features,3
529,DeFeat-Net: General Monocular Depth via Simultaneous Unsupervised Representation Learning,Jaime Spencer,depth-estimation,monocular-depth-estimation,representation-learning,https://github.com/jspenmar/DeFeat-Net,3
530,Maintaining Discrimination and Fairness in Class Incremental Learning,Bowen Zhao,,,,https://github.com/hugoycj/Incremental-Learning-with-Weight-Aligning,3
531,Learning to Super Resolve Intensity Images From Events,S. Mohammad Mostafavi I.,image-reconstruction,super-resolution,,https://github.com/gistvision/e2sri,3
532,Deep Shutter Unrolling Network,Peidong Liu,motion-estimation,,,https://github.com/ethliup/DeepUnrollNet,3
533,Enhancing Cross-Task Black-Box Transferability of Adversarial Examples With Dispersion Reduction,Yantao Lu,adversarial-attack,image-classification,object-detection,https://github.com/erbloo/dr,3
534,Toward a Universal Model for Shape From Texture,Dor Verbin,shape-from-texture,texture-synthesis,,https://github.com/dorverbin/shapefromtexture,3
535,Reinforced Feature Points: Optimizing Feature Detection and Description for a High-Level Task,Aritra Bhowmik,pose-estimation,,,https://github.com/aritra0593/Reinforced-Feature-Points,3
536,Unsupervised Deep Shape Descriptor With Point Distribution Learning,Yi Shi,3d-shape-retrieval,,,https://github.com/WordBearerYI/Unsupervised-Deep-Shape-Descriptor-with-Point-Distribution-Learning/blob/master/README.md,3
537,Visual Reaction: Learning to Play Catch With Your Drone,Kuo-Hao Zeng,,,,https://github.com/KuoHaoZeng/Visual_Reaction,3
538,Learning the Redundancy-Free Features for Generalized Zero-Shot Object Recognition,Zongyan Han,object-recognition,zero-shot-learning,,https://github.com/Hanzy1996/RRF-GZSL,3
539,Learning to Manipulate Individual Objects in an Image,Yanchao Yang,image-manipulation-detection,object-detection,,https://github.com/ChenYutongTHU/Learning-to-manipulate-individual-objects-in-an-image-Implementation,3
540,A U-Net Based Discriminator for Generative Adversarial Networks,Edgar Schonfeld,compressive-sensing,semantic-segmentation,,https://github.com/xingchenzhao/deep-learning-team-project,2
541,SmallBigNet: Integrating Core and Contextual Views for Video Classification,Xianhang Li,video-classification,,,https://github.com/xhl-video/SmallBigNet,2
542,Towards Achieving Adversarial Robustness by Enforcing Feature Consistency Across Bit Planes,Sravanti Addepalli,,,,https://github.com/val-iisc/BPFC,2
