,filename,title,author,task 1,task 2,task 3,github,stars
706,Wang_BiDet_An_Efficient_Binarized_Object_Detector_CVPR_2020_paper,BiDet: An Efficient Binarized Object Detector,Ziwei Wang,,,,,
707,Parashar_Local_Non-Rigid_Structure-From-Motion_From_Diffeomorphic_Mappings_CVPR_2020_paper,Local Non-Rigid Structure-From-Motion From Diffeomorphic Mappings,Shaifali Parashar,,,,,
708,Scheiner_Seeing_Around_Street_Corners_Non-Line-of-Sight_Detection_and_Tracking_In-the-Wild_Using_CVPR_2020_paper,Seeing Around Street Corners: Non-Line-of-Sight Detection and Tracking In-the-Wild Using Doppler Radar,Nicolas Scheiner,,,,,
709,Wang_APQ_Joint_Search_for_Network_Architecture_Pruning_and_Quantization_Policy_CVPR_2020_paper,"APQ: Joint Search for Network Architecture, Pruning and Quantization Policy",Tianzhe Wang,,,,,
710,Xu_On_the_Acceleration_of_Deep_Learning_Model_Parallelism_With_Staleness_CVPR_2020_paper,On the Acceleration of Deep Learning Model Parallelism With Staleness,An Xu,,,,,
711,Hou_RevealNet_Seeing_Behind_Objects_in_RGB-D_Scans_CVPR_2020_paper,RevealNet: Seeing Behind Objects in RGB-D Scans,Ji Hou,,,,,
712,Liu_MemNAS_Memory-Efficient_Neural_Architecture_Search_With_Grow-Trim_Learning_CVPR_2020_paper,MemNAS: Memory-Efficient Neural Architecture Search With Grow-Trim Learning,Peiye Liu,,,,,
713,Tanaka_Polarized_Non-Line-of-Sight_Imaging_CVPR_2020_paper,Polarized Non-Line-of-Sight Imaging,Kenichiro Tanaka,,,,,
714,Jin_AdaBits_Neural_Network_Quantization_With_Adaptive_Bit-Widths_CVPR_2020_paper,AdaBits: Neural Network Quantization With Adaptive Bit-Widths,Qing Jin,,,,,
715,Huang_ClusterVO_Clustering_Moving_Instances_and_Estimating_Visual_Odometry_for_Self_CVPR_2020_paper,ClusterVO: Clustering Moving Instances and Estimating Visual Odometry for Self and Surroundings,Jiahui Huang,,,,,
716,Yang_Automatic_Neural_Network_Compression_by_Sparsity-Quantization_Joint_Learning_A_Constrained_CVPR_2020_paper,Automatic Neural Network Compression by Sparsity-Quantization Joint Learning: A Constrained Optimization-Based Approach,Haichuan Yang,,,,,
717,Kusupati_Normal_Assisted_Stereo_Depth_Estimation_CVPR_2020_paper,Normal Assisted Stereo Depth Estimation,Uday Kusupati,,,,,
718,Fragoso_gDLS_Generalized_Pose-and-Scale_Estimation_Given_Scale_and_Gravity_Priors_CVPR_2020_paper,gDLS*: Generalized Pose-and-Scale Estimation Given Scale and Gravity Priors,Victor Fragoso,,,,,
719,Prabhudesai_Embodied_Language_Grounding_With_3D_Visual_Feature_Representations_CVPR_2020_paper,Embodied Language Grounding With 3D Visual Feature Representations,Mihir Prabhudesai,,,,,
720,Herrmann_Learning_to_Autofocus_CVPR_2020_paper,Learning to Autofocus,Charles Herrmann,,,,,
721,Liu_Joint_Demosaicing_and_Denoising_With_Self_Guidance_CVPR_2020_paper,Joint Demosaicing and Denoising With Self Guidance,Lin Liu,,,,,
722,Xu_Learning_to_Restore_Low-Light_Images_via_Decomposition-and-Enhancement_CVPR_2020_paper,Learning to Restore Low-Light Images via Decomposition-and-Enhancement,Ke Xu,,,,,
723,Enomoto_Photometric_Stereo_via_Discrete_Hypothesis-and-Test_Search_CVPR_2020_paper,Photometric Stereo via Discrete Hypothesis-and-Test Search,Kenji Enomoto,,,,,
724,Zhang_Fixed-Point_Back-Propagation_Training_CVPR_2020_paper,Fixed-Point Back-Propagation Training,Xishan Zhang,,,,,
725,Passalis_Heterogeneous_Knowledge_Distillation_Using_Information_Flow_Modeling_CVPR_2020_paper,Heterogeneous Knowledge Distillation Using Information Flow Modeling,Nikolaos Passalis,,,,,
726,Liu_Residual_Feature_Aggregation_Network_for_Image_Super-Resolution_CVPR_2020_paper,Residual Feature Aggregation Network for Image Super-Resolution,Jie Liu,,,,,
727,Yang_Resolution_Adaptive_Networks_for_Efficient_Inference_CVPR_2020_paper,Resolution Adaptive Networks for Efficient Inference,Le Yang,,,,,
728,Baik_Learning_to_Forget_for_Meta-Learning_CVPR_2020_paper,Learning to Forget for Meta-Learning,Sungyong Baik,,,,,
729,Nan_Deep_Learning_for_Handling_Kernelmodel_Uncertainty_in_Image_Deconvolution_CVPR_2020_paper,Deep Learning for Handling Kernel/model Uncertainty in Image Deconvolution,Yuesong Nan,,,,,
730,Wan_Reflection_Scene_Separation_From_a_Single_Image_CVPR_2020_paper,Reflection Scene Separation From a Single Image,Renjie Wan,,,,,
731,Luo_Wavelet_Synthesis_Net_for_Disparity_Estimation_to_Synthesize_DSLR_Calibre_CVPR_2020_paper,Wavelet Synthesis Net for Disparity Estimation to Synthesize DSLR Calibre Bokeh Effect on Smartphones,Chenchi Luo,,,,,
732,Ortiz_Bundle_Adjustment_on_a_Graph_Processor_CVPR_2020_paper,Bundle Adjustment on a Graph Processor,Joseph Ortiz,,,,,
733,Pedersen_3D-ZeF_A_3D_Zebrafish_Tracking_Benchmark_Dataset_CVPR_2020_paper,3D-ZeF: A 3D Zebrafish Tracking Benchmark Dataset,Malte Pedersen,,,,,
734,Meuleman_Single-Shot_Monocular_RGB-D_Imaging_Using_Uneven_Double_Refraction_CVPR_2020_paper,Single-Shot Monocular RGB-D Imaging Using Uneven Double Refraction,Andreas Meuleman,,,,,
735,Li_Inverse_Rendering_for_Complex_Indoor_Scenes_Shape_Spatially-Varying_Lighting_and_CVPR_2020_paper,"Inverse Rendering for Complex Indoor Scenes: Shape, Spatially-Varying Lighting and SVBRDF From a Single Image",Zhengqin Li,,,,,
736,Albl_From_Two_Rolling_Shutters_to_One_Global_Shutter_CVPR_2020_paper,From Two Rolling Shutters to One Global Shutter,Cenek Albl,,,,,
737,Labussiere_Blur_Aware_Calibration_of_Multi-Focus_Plenoptic_Camera_CVPR_2020_paper,Blur Aware Calibration of Multi-Focus Plenoptic Camera,Mathieu Labussiere,,,,,
738,Shi_Learning_Fused_Pixel_and_Feature-Based_View_Reconstructions_for_Light_Fields_CVPR_2020_paper,Learning Fused Pixel and Feature-Based View Reconstructions for Light Fields,Jinglei Shi,,,,,
739,Dong_Instance_Guided_Proposal_Network_for_Person_Search_CVPR_2020_paper,Instance Guided Proposal Network for Person Search,Wenkai Dong,,,,,
740,Lang_Which_Is_Plagiarism_Fashion_Image_Retrieval_Based_on_Regional_Representation_CVPR_2020_paper,Which Is Plagiarism: Fashion Image Retrieval Based on Regional Representation for Design Protection,Yining Lang,,,,,
741,Cheng_Inter-Task_Association_Critic_for_Cross-Resolution_Person_Re-Identification_CVPR_2020_paper,Inter-Task Association Critic for Cross-Resolution Person Re-Identification,Zhiyi Cheng,,,,,
742,Shao_FineGym_A_Hierarchical_Video_Dataset_for_Fine-Grained_Action_Understanding_CVPR_2020_paper,FineGym: A Hierarchical Video Dataset for Fine-Grained Action Understanding,Dian Shao,,,,,
743,Warburg_Mapillary_Street-Level_Sequences_A_Dataset_for_Lifelong_Place_Recognition_CVPR_2020_paper,Mapillary Street-Level Sequences: A Dataset for Lifelong Place Recognition,Frederik Warburg,,,,,
744,Yu_BDD100K_A_Diverse_Driving_Dataset_for_Heterogeneous_Multitask_Learning_CVPR_2020_paper,BDD100K: A Diverse Driving Dataset for Heterogeneous Multitask Learning,Fisher Yu,,,,,
745,Liu_Rethinking_Computer-Aided_Tuberculosis_Diagnosis_CVPR_2020_paper,Rethinking Computer-Aided Tuberculosis Diagnosis,Yun Liu,,,,,
746,Jia_Revisiting_Saliency_Metrics_Farthest-Neighbor_Area_Under_Curve_CVPR_2020_paper,Revisiting Saliency Metrics: Farthest-Neighbor Area Under Curve,Sen Jia,,,,,
747,Li_Improving_Confidence_Estimates_for_Unfamiliar_Examples_CVPR_2020_paper,Improving Confidence Estimates for Unfamiliar Examples,Zhizhong Li,,,,,
748,Bahat_Explorable_Super_Resolution_CVPR_2020_paper,Explorable Super Resolution,Yuval Bahat,,,,,
749,Zhang_Deblurring_by_Realistic_Blurring_CVPR_2020_paper,Deblurring by Realistic Blurring,Kaihao Zhang,,,,,
750,Wan_Bringing_Old_Photos_Back_to_Life_CVPR_2020_paper,Bringing Old Photos Back to Life,Ziyu Wan,,,,,
751,Shao_Domain_Adaptation_for_Image_Dehazing_CVPR_2020_paper,Domain Adaptation for Image Dehazing,Yuanjie Shao,,,,,
752,Dong_Bi-Directional_Interaction_Network_for_Person_Search_CVPR_2020_paper,Bi-Directional Interaction Network for Person Search,Wenkai Dong,,,,,
753,Haris_Space-Time-Aware_Multi-Resolution_Video_Enhancement_CVPR_2020_paper,Space-Time-Aware Multi-Resolution Video Enhancement,Muhammad Haris,,,,,
754,Yan_Learning_Multi-Granular_Hypergraphs_for_Video-Based_Person_Re-Identification_CVPR_2020_paper,Learning Multi-Granular Hypergraphs for Video-Based Person Re-Identification,Yichao Yan,,,,,
755,Zhou_Online_Joint_Multi-Metric_Adaptation_From_Frequent_Sharing-Subset_Mining_for_Person_CVPR_2020_paper,Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification,Jiahuan Zhou,,,,,
756,Fan_Taking_a_Deeper_Look_at_Co-Salient_Object_Detection_CVPR_2020_paper,Taking a Deeper Look at Co-Salient Object Detection,Deng-Ping Fan,,,,,
757,Zheng_Deep_Metric_Learning_via_Adaptive_Learnable_Assessment_CVPR_2020_paper,Deep Metric Learning via Adaptive Learnable Assessment,Wenzhao Zheng,,,,,
758,Liu_Deep_Representation_Learning_on_Long-Tailed_Data_A_Learnable_Embedding_Augmentation_CVPR_2020_paper,Deep Representation Learning on Long-Tailed Data: A Learnable Embedding Augmentation Perspective,Jialun Liu,,,,,
759,Jiang_Fantastic_Answers_and_Where_to_Find_Them_Immersive_Question-Directed_Visual_CVPR_2020_paper,Fantastic Answers and Where to Find Them: Immersive Question-Directed Visual Attention,Ming Jiang,,,,,
760,Yu_HUMBI_A_Large_Multiview_Dataset_of_Human_Body_Expressions_CVPR_2020_paper,HUMBI: A Large Multiview Dataset of Human Body Expressions,Zhixuan Yu,,,,,
761,Chen_Image_Search_With_Text_Feedback_by_Visiolinguistic_Attention_Learning_CVPR_2020_paper,Image Search With Text Feedback by Visiolinguistic Attention Learning,Yanbei Chen,,,,,
762,Gu_Image_Processing_Using_Multi-Code_GAN_Prior_CVPR_2020_paper,Image Processing Using Multi-Code GAN Prior,Jinjin Gu,,,,,
763,Zheng_What_Does_Plate_Glass_Reveal_About_Camera_Calibration_CVPR_2020_paper,What Does Plate Glass Reveal About Camera Calibration?,Qian Zheng,,,,,
764,Yang_From_Fidelity_to_Perceptual_Quality_A_Semi-Supervised_Approach_for_Low-Light_CVPR_2020_paper,From Fidelity to Perceptual Quality: A Semi-Supervised Approach for Low-Light Image Enhancement,Wenhan Yang,,,,,
765,Huang_ARCH_Animatable_Reconstruction_of_Clothed_Humans_CVPR_2020_paper,ARCH: Animatable Reconstruction of Clothed Humans,Zeng Huang,,,,,
766,Banani_Novel_Object_Viewpoint_Estimation_Through_Reconstruction_Alignment_CVPR_2020_paper,Novel Object Viewpoint Estimation Through Reconstruction Alignment,Mohamed El Banani,,,,,
767,Hu_Creating_Something_From_Nothing_Unsupervised_Knowledge_Distillation_for_Cross-Modal_Hashing_CVPR_2020_paper,Creating Something From Nothing: Unsupervised Knowledge Distillation for Cross-Modal Hashing,Hengtong Hu,,,,,
768,Jin_Style_Normalization_and_Restitution_for_Generalizable_Person_Re-Identification_CVPR_2020_paper,Style Normalization and Restitution for Generalizable Person Re-Identification,Xin Jin,,,,,
769,Cai_Reconstruct_Locally_Localize_Globally_A_Model_Free_Method_for_Object_CVPR_2020_paper,"Reconstruct Locally, Localize Globally: A Model Free Method for Object Pose Estimation",Ming Cai,,,,,
770,Deitke_RoboTHOR_An_Open_Simulation-to-Real_Embodied_AI_Platform_CVPR_2020_paper,RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,Matt Deitke,,,,,
771,Li_All_in_One_Bad_Weather_Removal_Using_Architectural_Search_CVPR_2020_paper,All in One Bad Weather Removal Using Architectural Search,Ruoteng Li,,,,,
772,Hampali_HOnnotate_A_Method_for_3D_Annotation_of_Hand_and_Object_CVPR_2020_paper,HOnnotate: A Method for 3D Annotation of Hand and Object Poses,Shreyas Hampali,,,,,
773,Poggi_On_the_Uncertainty_of_Self-Supervised_Monocular_Depth_Estimation_CVPR_2020_paper,On the Uncertainty of Self-Supervised Monocular Depth Estimation,Matteo Poggi,,,,,
774,Liu_Unsupervised_Learning_for_Intrinsic_Image_Decomposition_From_a_Single_Image_CVPR_2020_paper,Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,Yunfei Liu,,,,,
775,Xiao_Multi-Domain_Learning_for_Accurate_and_Few-Shot_Color_Constancy_CVPR_2020_paper,Multi-Domain Learning for Accurate and Few-Shot Color Constancy,Jin Xiao,,,,,
776,Wang_PANDA_A_Gigapixel-Level_Human-Centric_Video_Dataset_CVPR_2020_paper,PANDA: A Gigapixel-Level Human-Centric Video Dataset,Xueyang Wang,,,,,
777,Chen_Cross-View_Tracking_for_Multi-Human_3D_Pose_Estimation_at_Over_100_CVPR_2020_paper,Cross-View Tracking for Multi-Human 3D Pose Estimation at Over 100 FPS,Long Chen,,,,,
778,Yang_Spatial-Temporal_Graph_Convolutional_Network_for_Video-Based_Person_Re-Identification_CVPR_2020_paper,Spatial-Temporal Graph Convolutional Network for Video-Based Person Re-Identification,Jinrui Yang,,,,,
779,Chen_Salience-Guided_Cascaded_Suppression_Network_for_Person_Re-Identification_CVPR_2020_paper,Salience-Guided Cascaded Suppression Network for Person Re-Identification,Xuesong Chen,,,,,
780,Lin_Fashion_Outfit_Complementary_Item_Retrieval_CVPR_2020_paper,Fashion Outfit Complementary Item Retrieval,Yen-Liang Lin,,,,,
781,Jiang_Learning_Event-Based_Motion_Deblurring_CVPR_2020_paper,Learning Event-Based Motion Deblurring,Zhe Jiang,,,,,
782,Zhao_Domain_Decluttering_Simplifying_Images_to_Mitigate_Synthetic-Real_Domain_Shift_and_CVPR_2020_paper,Domain Decluttering: Simplifying Images to Mitigate Synthetic-Real Domain Shift and Improve Depth Estimation,Yunhan Zhao,,,,,
783,Li_Anisotropic_Convolutional_Networks_for_3D_Semantic_Scene_Completion_CVPR_2020_paper,Anisotropic Convolutional Networks for 3D Semantic Scene Completion,Jie Li,,,,,
784,Yu_COCAS_A_Large-Scale_Clothes_Changing_Person_Dataset_for_Re-Identification_CVPR_2020_paper,COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,Shijie Yu,,,,,
785,Li_Learning_Formation_of_Physically-Based_Face_Attributes_CVPR_2020_paper,Learning Formation of Physically-Based Face Attributes,Ruilong Li,,,,,
786,Cao_Stereoscopic_Flash_and_No-Flash_Photography_for_Shape_and_Albedo_Recovery_CVPR_2020_paper,Stereoscopic Flash and No-Flash Photography for Shape and Albedo Recovery,Xu Cao,,,,,
787,Li_Context-Aware_Group_Captioning_via_Self-Attention_and_Contrastive_Features_CVPR_2020_paper,Context-Aware Group Captioning via Self-Attention and Contrastive Features,Zhuowan Li,,,,,
788,Wu_MEBOW_Monocular_Estimation_of_Body_Orientation_in_the_Wild_CVPR_2020_paper,MEBOW: Monocular Estimation of Body Orientation in the Wild,Chenyan Wu,,,,,
789,Hong_Distilling_Image_Dehazing_With_Heterogeneous_Task_Imitation_CVPR_2020_paper,Distilling Image Dehazing With Heterogeneous Task Imitation,Ming Hong,,,,,
790,Zhang_Select_Supplement_and_Focus_for_RGB-D_Saliency_Detection_CVPR_2020_paper,"Select, Supplement and Focus for RGB-D Saliency Detection",Miao Zhang,,,,,
791,Schmitt_On_Joint_Estimation_of_Pose_Geometry_and_svBRDF_From_a_CVPR_2020_paper,"On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner",Carolin Schmitt,,,,,
792,Niemeyer_Differentiable_Volumetric_Rendering_Learning_Implicit_3D_Representations_Without_3D_Supervision_CVPR_2020_paper,Differentiable Volumetric Rendering: Learning Implicit 3D Representations Without 3D Supervision,Michael Niemeyer,,,,,
793,Soh_Meta-Transfer_Learning_for_Zero-Shot_Super-Resolution_CVPR_2020_paper,Meta-Transfer Learning for Zero-Shot Super-Resolution,Jae Woong Soh,,,,,
794,Bridger_Solving_Jigsaw_Puzzles_With_Eroded_Boundaries_CVPR_2020_paper,Solving Jigsaw Puzzles With Eroded Boundaries,Dov Bridger,,,,,
795,Zhang_Context-Aware_Attention_Network_for_Image-Text_Retrieval_CVPR_2020_paper,Context-Aware Attention Network for Image-Text Retrieval,Qi Zhang,,,,,
796,Lin_M-LVC_Multiple_Frames_Prediction_for_Learned_Video_Compression_CVPR_2020_paper,M-LVC: Multiple Frames Prediction for Learned Video Compression,Jianping Lin,,,,,
797,Yuan_Efficient_Dynamic_Scene_Deblurring_Using_Spatially_Variant_Deconvolution_Network_With_CVPR_2020_paper,Efficient Dynamic Scene Deblurring Using Spatially Variant Deconvolution Network With Optical Flow Guided Training,Yuan Yuan,,,,,
798,Gehrig_Video_to_Events_Recycling_Video_Datasets_for_Event_Cameras_CVPR_2020_paper,Video to Events: Recycling Video Datasets for Event Cameras,Daniel Gehrig,,,,,
799,Hosseinzadeh_Composed_Query_Image_Retrieval_Using_Locally_Bounded_Features_CVPR_2020_paper,Composed Query Image Retrieval Using Locally Bounded Features,Mehrdad Hosseinzadeh,,,,,
800,Suin_Spatially-Attentive_Patch-Hierarchical_Network_for_Adaptive_Motion_Deblurring_CVPR_2020_paper,Spatially-Attentive Patch-Hierarchical Network for Adaptive Motion Deblurring,Maitreya Suin,,,,,
801,Xu_End-to-End_Illuminant_Estimation_Based_on_Deep_Metric_Learning_CVPR_2020_paper,End-to-End Illuminant Estimation Based on Deep Metric Learning,Bolei Xu,,,,,
802,Nan_Variational-EM-Based_Deep_Learning_for_Noise-Blind_Image_Deblurring_CVPR_2020_paper,Variational-EM-Based Deep Learning for Noise-Blind Image Deblurring,Yuesong Nan,,,,,
803,Chiu_Assessing_Image_Quality_Issues_for_Real-World_Problems_CVPR_2020_paper,Assessing Image Quality Issues for Real-World Problems,Tai-Yin Chiu,,,,,
804,Zhang_Memory-Efficient_Hierarchical_Neural_Architecture_Search_for_Image_Denoising_CVPR_2020_paper,Memory-Efficient Hierarchical Neural Architecture Search for Image Denoising,Haokui Zhang,,,,,
805,Su_Blindly_Assess_Image_Quality_in_the_Wild_Guided_by_a_CVPR_2020_paper,Blindly Assess Image Quality in the Wild Guided by a Self-Adaptive Hyper Network,Shaolin Su,,,,,
806,Mei_Dont_Hit_Me_Glass_Detection_in_Real-World_Scenes_CVPR_2020_paper,Don't Hit Me! Glass Detection in Real-World Scenes,Haiyang Mei,,,,,
807,Lin_Progressive_Mirror_Detection_CVPR_2020_paper,Progressive Mirror Detection,Jiaying Lin,,,,,
808,Zhang_Dynamic_Graph_Message_Passing_Networks_CVPR_2020_paper,Dynamic Graph Message Passing Networks,Li Zhang,,,,,
809,Luo_End-to-End_Optimization_of_Scene_Layout_CVPR_2020_paper,End-to-End Optimization of Scene Layout,Andrew Luo,,,,,
810,Pan_Unsupervised_Intra-Domain_Adaptation_for_Semantic_Segmentation_Through_Self-Supervision_CVPR_2020_paper,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision,Fei Pan,,,,,
811,Zhan_Self-Supervised_Scene_De-Occlusion_CVPR_2020_paper,Self-Supervised Scene De-Occlusion,Xiaohang Zhan,,,,,
812,Chen_BANet_Bidirectional_Aggregation_Network_With_Occlusion_Handling_for_Panoptic_Segmentation_CVPR_2020_paper,BANet: Bidirectional Aggregation Network With Occlusion Handling for Panoptic Segmentation,Yifeng Chen,,,,,
813,Yang_CPR-GCN_Conditional_Partial-Residual_Graph_Convolutional_Network_in_Automated_Anatomical_Labeling_CVPR_2020_paper,CPR-GCN: Conditional Partial-Residual Graph Convolutional Network in Automated Anatomical Labeling of Coronary Arteries,Han Yang,,,,,
814,Liu_Cross-View_Correspondence_Reasoning_Based_on_Bipartite_Graph_Convolutional_Network_for_CVPR_2020_paper,Cross-View Correspondence Reasoning Based on Bipartite Graph Convolutional Network for Mammogram Mass Detection,Yuhang Liu,,,,,
815,Hayashida_MPM_Joint_Representation_of_Motion_and_Position_Map_for_Cell_CVPR_2020_paper,MPM: Joint Representation of Motion and Position Map for Cell Tracking,Junya Hayashida,,,,,
816,Wang_Deep_Distance_Transform_for_Tubular_Structure_Segmentation_in_CT_Scans_CVPR_2020_paper,Deep Distance Transform for Tubular Structure Segmentation in CT Scans,Yan Wang,,,,,
817,Hashimoto_Multi-scale_Domain-adversarial_Multiple-instance_CNN_for_Cancer_Subtype_Classification_with_Unannotated_CVPR_2020_paper,Multi-scale Domain-adversarial Multiple-instance CNN for Cancer Subtype Classification with Unannotated Histopathological Images,Noriaki Hashimoto,,,,,
818,Zhang_METAL_Minimum_Effort_Temporal_Activity_Localization_in_Untrimmed_Videos_CVPR_2020_paper,METAL: Minimum Effort Temporal Activity Localization in Untrimmed Videos,Da Zhang,,,,,
819,Yan_Neural_Data_Server_A_Large-Scale_Search_Engine_for_Transfer_Learning_CVPR_2020_paper,Neural Data Server: A Large-Scale Search Engine for Transfer Learning Data,Xi Yan,,,,,
820,Song_DEPARA_Deep_Attribution_Graph_for_Deep_Knowledge_Transferability_CVPR_2020_paper,DEPARA: Deep Attribution Graph for Deep Knowledge Transferability,Jie Song,,,,,
821,Abati_Conditional_Channel_Gated_Networks_for_Task-Aware_Continual_Learning_CVPR_2020_paper,Conditional Channel Gated Networks for Task-Aware Continual Learning,Davide Abati,,,,,
822,Wang_FocalMix_Semi-Supervised_Learning_for_3D_Medical_Image_Detection_CVPR_2020_paper,FocalMix: Semi-Supervised Learning for 3D Medical Image Detection,Dong Wang,,,,,
823,Wald_Learning_3D_Semantic_Scene_Graphs_From_3D_Indoor_Reconstructions_CVPR_2020_paper,Learning 3D Semantic Scene Graphs From 3D Indoor Reconstructions,Johanna Wald,,,,,
824,Boss_Two-Shot_Spatially-Varying_BRDF_and_Shape_Estimation_CVPR_2020_paper,Two-Shot Spatially-Varying BRDF and Shape Estimation,Mark Boss,,,,,
825,Xiong_Variational_Context-Deformable_ConvNets_for_Indoor_Scene_Parsing_CVPR_2020_paper,Variational Context-Deformable ConvNets for Indoor Scene Parsing,Zhitong Xiong,,,,,
826,Dong_What_Can_Be_Transferred_Unsupervised_Domain_Adaptation_for_Endoscopic_Lesions_CVPR_2020_paper,What Can Be Transferred: Unsupervised Domain Adaptation for Endoscopic Lesions Segmentation,Jiahua Dong,,,,,
827,Meng_ADINet_Attribute_Driven_Incremental_Network_for_Retinal_Image_Classification_CVPR_2020_paper,ADINet: Attribute Driven Incremental Network for Retinal Image Classification,Qier Meng,,,,,
828,Hu_Unsupervised_Domain_Adaptation_With_Hierarchical_Gradient_Synchronization_CVPR_2020_paper,Unsupervised Domain Adaptation With Hierarchical Gradient Synchronization,Lanqing Hu,,,,,
829,Li_Deep_Grouping_Model_for_Unified_Perceptual_Parsing_CVPR_2020_paper,Deep Grouping Model for Unified Perceptual Parsing,Zhiheng Li,,,,,
830,Shi_Where_Am_I_Looking_At_Joint_Location_and_Orientation_Estimation_CVPR_2020_paper,Where Am I Looking At? Joint Location and Orientation Estimation by Cross-View Matching,Yujiao Shi,,,,,
831,Zeng_Gum-Net_Unsupervised_Geometric_Matching_for_Fast_and_Accurate_3D_Subtomogram_CVPR_2020_paper,Gum-Net: Unsupervised Geometric Matching for Fast and Accurate 3D Subtomogram Image Alignment and Averaging,Xiangrui Zeng,,,,,
832,Yang_FDA_Fourier_Domain_Adaptation_for_Semantic_Segmentation_CVPR_2020_paper,FDA: Fourier Domain Adaptation for Semantic Segmentation,Yanchao Yang,,,,,
833,Zheng_Foreground-Aware_Relation_Network_for_Geospatial_Object_Segmentation_in_High_Spatial_CVPR_2020_paper,Foreground-Aware Relation Network for Geospatial Object Segmentation in High Spatial Resolution Remote Sensing Imagery,Zhuo Zheng,,,,,
834,Liu_When2com_Multi-Agent_Perception_via_Communication_Graph_Grouping_CVPR_2020_paper,When2com: Multi-Agent Perception via Communication Graph Grouping,Yen-Cheng Liu,,,,,
835,Yu_C2FNAS_Coarse-to-Fine_Neural_Architecture_Search_for_3D_Medical_Image_Segmentation_CVPR_2020_paper,C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation,Qihang Yu,,,,,
836,Hong_Learning_to_Detect_Important_People_in_Unlabelled_Images_for_Semi-Supervised_CVPR_2020_paper,Learning to Detect Important People in Unlabelled Images for Semi-Supervised Important People Detection,Fa-Ting Hong,,,,,
837,Chen_Stochastic_Sparse_Subspace_Clustering_CVPR_2020_paper,Stochastic Sparse Subspace Clustering,Ying Chen,,,,,
838,Liu_CRNet_Cross-Reference_Networks_for_Few-Shot_Segmentation_CVPR_2020_paper,CRNet: Cross-Reference Networks for Few-Shot Segmentation,Weide Liu,,,,,
839,Lin_Shoestring_Graph-Based_Semi-Supervised_Classification_With_Severely_Limited_Labeled_Data_CVPR_2020_paper,Shoestring: Graph-Based Semi-Supervised Classification With Severely Limited Labeled Data,Wanyu Lin,,,,,
840,Bergmann_Uninformed_Students_Student-Teacher_Anomaly_Detection_With_Discriminative_Latent_Embeddings_CVPR_2020_paper,Uninformed Students: Student-Teacher Anomaly Detection With Discriminative Latent Embeddings,Paul Bergmann,,,,,
841,Li_Composing_Good_Shots_by_Exploiting_Mutual_Relations_CVPR_2020_paper,Composing Good Shots by Exploiting Mutual Relations,Debang Li,,,,,
842,Guo_Organ_at_Risk_Segmentation_for_Head_and_Neck_Cancer_Using_CVPR_2020_paper,Organ at Risk Segmentation for Head and Neck Cancer Using Stratified Learning and Neural Architecture Search,Dazhou Guo,,,,,
843,Liu_Unsupervised_Instance_Segmentation_in_Microscopy_Images_via_Panoptic_Domain_Adaptation_CVPR_2020_paper,Unsupervised Instance Segmentation in Microscopy Images via Panoptic Domain Adaptation and Task Re-Weighting,Dongnan Liu,,,,,
844,Zhou_DuDoRNet_Learning_a_Dual-Domain_Recurrent_Network_for_Fast_MRI_Reconstruction_CVPR_2020_paper,DuDoRNet: Learning a Dual-Domain Recurrent Network for Fast MRI Reconstruction With Deep T1 Prior,Bo Zhou,,,,,
845,Yu_FOAL_Fast_Online_Adaptive_Learning_for_Cardiac_Motion_Estimation_CVPR_2020_paper,FOAL: Fast Online Adaptive Learning for Cardiac Motion Estimation,Hanchao Yu,,,,,
846,Lv_Cross-Domain_Semantic_Segmentation_via_Domain-Invariant_Interactive_Relation_Transfer_CVPR_2020_paper,Cross-Domain Semantic Segmentation via Domain-Invariant Interactive Relation Transfer,Fengmao Lv,,,,,
847,Zhu_Inflated_Episodic_Memory_With_Region_Self-Attention_for_Long-Tailed_Visual_Recognition_CVPR_2020_paper,Inflated Episodic Memory With Region Self-Attention for Long-Tailed Visual Recognition,Linchao Zhu,,,,,
848,Xia_Structure_Preserving_Generative_Cross-Domain_Learning_CVPR_2020_paper,Structure Preserving Generative Cross-Domain Learning,Haifeng Xia,,,,,
849,Yang_Reverse_Perspective_Network_for_Perspective-Aware_Object_Counting_CVPR_2020_paper,Reverse Perspective Network for Perspective-Aware Object Counting,Yifan Yang,,,,,
850,Wei_Multi-Path_Region_Mining_for_Weakly_Supervised_3D_Semantic_Segmentation_on_CVPR_2020_paper,Multi-Path Region Mining for Weakly Supervised 3D Semantic Segmentation on Point Clouds,Jiacheng Wei,,,,,
851,Xu_Reliable_Weighted_Optimal_Transport_for_Unsupervised_Domain_Adaptation_CVPR_2020_paper,Reliable Weighted Optimal Transport for Unsupervised Domain Adaptation,Renjun Xu,,,,,
